#BOOKMARKS;;;;;;;;;;;;;;x;
hussite_2;You allow Hus to continue to preach his heresy;You allow Hus to continue to preach his heresy;You allow Hus to continue to preach his heresy;;You allow Hus to continue to preach his heresy;;;;;;;;;x;
hussite_3;You make peace with the Hussites;You make peace with the Hussites;You make peace with the Hussites;;You make peace with the Hussites;;;;;;;;;x;
hussite_4;You vow to fight the Hussites to the end;You vow to fight the Hussites to the end;You vow to fight the Hussites to the end;;You vow to fight the Hussites to the end;;;;;;;;;x;
hussite_5;You continue to tolerate the Hussites;You continue to tolerate the Hussites;You continue to tolerate the Hussites;;You continue to tolerate the Hussites;;;;;;;;;x;
hussite_6;Hussite forces rise up in [Root.GetBaseName]!;Hussite forces rise up in [Root.GetBaseName]!;Hussite forces rise up in [Root.GetBaseName]!;;Hussite forces rise up in [Root.GetBaseName]!;;;;;;;;;x;
otto_1;Adelaide is informed of your proposal;Adelaide is informed of your proposal;Adelaide is informed of your proposal;;Adelaide is informed of your proposal;;;;;;;;;x;
otto_2;Otto goes to war with Berengar;Otto goes to war with Berengar;Otto goes to war with Berengar;;Otto goes to war with Berengar;;;;;;;;;x;
otto_3;Otto and Adelaide are wed;Otto and Adelaide are wed;Otto and Adelaide are wed;;Otto and Adelaide are wed;;;;;;;;;x;
otto_4;Berengar goes to war with the Pope;Berengar goes to war with the Pope;Berengar goes to war with the Pope;;Berengar goes to war with the Pope;;;;;;;;;x;
otto_5;You will meet Otto;You will meet Otto;You will meet Otto;;You will meet Otto;;;;;;;;;x;
otto_6;Your position as king is strengthened;Your position as king is strengthened;Your position as king is strengthened;;Your position as king is strengthened;;;;;;;;;x;
otto_7;You are granted the March of Verona;You are granted the March of Verona;You are granted the March of Verona;;You are granted the March of Verona;;;;;;;;;;
investiture_c_1;You send an angry response to the Pope;You send an angry response to the Pope;You send an angry response to the Pope;;You send an angry response to the Pope;;;;;;;;;x;
investiture_c_2;You accept the Pope's demands on investiture;You accept the Pope's demands on investiture;You accept the Pope's demands on investiture;;You accept the Pope's demands on investiture;;;;;;;;;x;
investiture_c_3;You defy the Pope;You defy the Pope;You defy the Pope;;You defy the Pope;;;;;;;;;x;
investiture_c_4;The Pope will hear of our desire for repentance;The Pope will hear of our desire for repentance;The Pope will hear of our desire for repentance;;The Pope will hear of our desire for repentance;;;;;;;;;x;
investiture_c_5;The Pope will hear of our desire for compromise;The Pope will hear of our desire for compromise;The Pope will hear of our desire for compromise;;The Pope will hear of our desire for compromise;;;;;;;;;x;
investiture_c_6;The Pope will hear of our demands;The Pope will hear of our demands;The Pope will hear of our demands;;The Pope will hear of our demands;;;;;;;;;x;
investiture_c_7;You agree to the Pope's compromise;You agree to the Pope's compromise;You agree to the Pope's compromise;;You agree to the Pope's compromise;;;;;;;;;x;
investiture_c_8;You laugh in the face of the Pope's “compromise”;You laugh in the face of the Pope's “compromise”;You laugh in the face of the Pope's “compromise”;;You laugh in the face of the Pope's “compromise”;;;;;;;;;x;
investiture_c_9;You reject the Pope's demands;You reject the Pope's demands;You reject the Pope's demands;;You reject the Pope's demands;;;;;;;;;x;
investiture_c_10;The investiture controversy ends;The investiture controversy ends;The investiture controversy ends;;The investiture controversy ends;;;;;;;;;x;
investiture_c_11;You will abdicate in favour of the Pope's chosen candidate;You will abdicate in favour of the Pope's chosen candidate;You will abdicate in favour of the Pope's chosen candidate;;You will abdicate in favour of the Pope's chosen candidate;;;;;;;;;x;
verdun_1;King-vassals who defied the Emperor can now plot to enforce limits on imperial power;King-vassals who defied the Emperor can now plot to enforce limits on imperial power;King-vassals who defied the Emperor can now plot to enforce limits on imperial power;;King-vassals who defied the Emperor can now plot to enforce limits on imperial power;;;;;;;;;x;
verdun_2;You accept your king-vassals' demands;You accept your king-vassals' demands;You accept your king-vassals' demands;;You accept your king-vassals' demands;;;;;;;;;x;
verdun_3;Your rebellious king-vassals hear of your rejection;Your rebellious king-vassals hear of your rejection;Your rebellious king-vassals hear of your rejection;;Your rebellious king-vassals hear of your rejection;;;;;;;;;x;
karling_2_hre;The Carolingian Empire becomes the Holy Roman Empire;The Carolingian Empire becomes the Holy Roman Empire;The Carolingian Empire becomes the Holy Roman Empire;;The Carolingian Empire becomes the Holy Roman Empire;;;;;;;;;x;
papal_relations_1;You agree to lower Imperial authority for the Pope;You agree to lower Imperial authority for the Pope;You agree to lower Imperial authority for the Pope;;You agree to lower Imperial authority for the Pope;;;;;;;;;x;
hre_dissolved;The Empire is replaced with a new political entity;The Empire is dissolved!;The Empire is dissolved!;;The Empire is dissolved!;;;;;;;;;x;
invest_papal_law;The Investiture Controversy must not have ended in the Pope's favour;The Investiture Controversy must not have ended in the Pope's favour;The Investiture Controversy must not have ended in the Pope's favour;;The Investiture Controversy must not have ended in the Pope's favour;;;;;;;;;x;
invest_imperial_law;The Investiture Controversy must not have ended in the Emperor's favour;The Investiture Controversy must not have ended in the Emperor's favour;The Investiture Controversy must not have ended in the Emperor's favour;;The Investiture Controversy must not have ended in the Emperor's favour;;;;;;;;;x;
verdun_restrictions;Realm must not have been formally partitioned;Realm must not have been formally partitioned;Realm must not have been formally partitioned;;Realm must not have been formally partitioned;;;;;;;;;x;
sifp_restrictions;Must not be beholden to the Statute in Favorem Principum;Must not be beholden to the Statute in Favorem Principum;Must not be beholden to the Statute in Favorem Principum;;Must not be beholden to the Statute in Favorem Principum;;;;;;;;;x;
pope_sicily_1;The Pope is informed you intend to keep Sicily;The Pope is informed you intend to keep Sicily;The Pope is informed you intend to keep Sicily;;The Pope is informed you intend to keep Sicily;;;;;;;;;x;
emperor_disobeys_pope;The Pope will hear of your disobedience;The Pope will hear of your disobedience;The Pope will hear of your disobedience;;The Pope will hear of your disobedience;;;;;;;;;x;
grant_pope_d_latium;You agree to give the land to the Pope;You agree to give the land to the Pope;You agree to give the land to the Pope;;You agree to give the land to the Pope;;;;;;;;;x;
half_price_coronation;Your vassals are invited to your coronation;Your vassals are invited to your coronation;Your vassals are invited to your coronation;;Your vassals are invited to your coronation;;;;;;;;;x;
imp_power_1;You grant rights to the princes;You grant rights to the princes;You grant rights to the princes;;You grant rights to the princes;;;;;;;;;x;
imp_power_2;You deny rights to the princes;You deny rights to the princes;You deny rights to the princes;;You deny rights to the princes;;;;;;;;;x;
imp_power_3;You can now plot to lower imperial authority;You can now plot to lower imperial authority;You can now plot to lower imperial authority;;You can now plot to lower imperial authority;;;;;;;;;x;
imp_power_4;You accept the Princes' demands to lower imperial authority;You accept the Princes' demands to lower imperial authority;You accept the Princes' demands to lower imperial authority;;You accept the Princes' demands to lower imperial authority;;;;;;;;;x;
imp_power_5;You reject the Princes' demands to lower imperial authority;You reject the Princes' demands to lower imperial authority;You reject the Princes' demands to lower imperial authority;;You reject the Princes' demands to lower imperial authority;;;;;;;;;x;
imp_power_6;You defy the desires of your vassals and revoke the Statute anyway;You defy the desires of your vassals and revoke the Statute anyway;You defy the desires of your vassals and revoke the Statute anyway;;You defy the desires of your vassals and revoke the Statute anyway;;;;;;;;;x;
new_capital_cairo;Cairo becomes your new capital;Cairo becomes your new capital;Cairo becomes your new capital;;Cairo becomes your new capital;;;;;;;;;x;
german_kingdoms;Holds a German kingdom;Holds a German kingdom;Holds a German kingdom;;Holds a German kingdom;;;;;;;;;x;
controls_italy;Controls Italy;Controls Italy;Controls Italy;;Controls Italy;;;;;;;;;x;
hunald_1;Send [Root.Liege.GetBestName] an ultimatum for your independence;Send [Root.Liege.GetBestName] an ultimatum for your independence;Send [Root.Liege.GetBestName] an ultimatum for your independence;;Send [Root.Liege.GetBestName] an ultimatum for your independence;;;;;;;;;;
former_hre_1;Primary title was formerly the Holy Roman Empire;Primary title was formerly the Holy Roman Empire;Primary title was formerly the Holy Roman Empire;;Primary title was formerly the Holy Roman Empire;;;;;;;;;;
need_crown_1;Is crowned;Is crowned;Is crowned;;Is crowned;;;;;;;;;;
co_crown_1;The Lords of the Empire will vote on your decision;The Lords of the Empire will vote on your decision;The Lords of the Empire will vote on your decision;;The Lords of the Empire will vote on your decision;;;;;;;;;;
co_crown_2;[potential_co_crownee.GetBestName] will be crowned as King of the Romans;[potential_co_crownee.GetBestName] will be crowned as King of the Romans;[potential_co_crownee.GetBestName] will be crowned as King of the Romans;;[potential_co_crownee.GetBestName] will be crowned as King of the Romans;;;;;;;;;;
co_crown_3;The Institution of co-crowning Imperial heirs will end;The Institution of co-crowning Imperial heirs will end;The Institution of co-crowning Imperial heirs will end;;The Institution of co-crowning Imperial heirs will end;;;;;;;;;;
mf_tribute_absorb_1;[From.GetBestName] becomes an Imperial vassal;[From.GetBestName] becomes an Imperial vassal;[From.GetBestName] becomes an Imperial vassal;;[From.GetBestName] becomes an Imperial vassal;;;;;;;;;;
mf_tribute_absorb_2;You may wage war on [From.GetTitledName] to force [From.GetHerHim] to recognise you as heir;You may wage war on [From.GetTitledName] to force [From.GetHerHim] to recognise you as heir;You may wage war on [From.GetTitledName] to force [From.GetHerHim] to recognise you as heir;;You may wage war on [From.GetTitledName] to force [From.GetHerHim] to recognise you as heir;;;;;;;;;;
raised_in_rank;Title raised in Rank;Title raised in Rank;Title raised in Rank;;Title raised in Rank;;;;;;;;;;
burgundian_named_heir;Named as heir;Named as heir;Named as heir;;Named as heir;;;;;;;;;;
#CUSTOM LOCALISATIONS;;;;;;;;;;;;;;x;
cust_loc_grand_duchy;Grand Duchy;Grand Duchy;Grand Duchy;;Grand Duchy;;;;;;;;;x;
cust_loc_arch_duchy;Archduchy;Archduchy;Archduchy;;Archduchy;;;;;;;;;x;
cust_loc_kingdom;Kingdom;Kingdom;Kingdom;;Kingdom;;;;;;;;;x;
cust_loc_grand_franconia;Grand Duchy of Franconia;Grand Duchy of Franconia;Grand Duchy of Franconia;;Grand Duchy of Franconia;;;;;;;;;x;
cust_loc_grand_swabia;Grand Duchy of Swabia;Grand Duchy of Swabia;Grand Duchy of Swabia;;Grand Duchy of Swabia;;;;;;;;;x;
cust_loc_grand_bavaria;Grand Duchy of Bavaria;Grand Duchy of Bavaria;Grand Duchy of Bavaria;;Grand Duchy of Bavaria;;;;;;;;;x;
cust_loc_arch_austria;Archduchy of Austria;Archduchy of Austria;Archduchy of Austria;;Archduchy of Austria;;;;;;;;;x;
cust_loc_grand_luxembourg;Grand Duchy of Luxembourg;Grand Duchy of Luxembourg;Grand Duchy of Luxembourg;;Grand Duchy of Luxembourg;;;;;;;;;x;
cust_loc_grand_tuscany;Grand Duchy of Tuscany;Grand Duchy of Tuscany;Grand Duchy of Tuscany;;Grand Duchy of Tuscany;;;;;;;;;x;
cust_loc_grand_saxony;Grand Duchy of Saxony;Grand Duchy of Saxony;Grand Duchy of Saxony;;Grand Duchy of Saxony;;;;;;;;;x;
cust_loc_grand_lorraine;Grand Duchy of Lorraine;Grand Duchy of Lorraine;Grand Duchy of Lorraine;;Grand Duchy of Lorraine;;;;;;;;;x;
cust_loc_grand_holland;Grand Duchy of Holland;Grand Duchy of Holland;Grand Duchy of Holland;;Grand Duchy of Holland;;;;;;;;;x;
cust_loc_king_bohemia;Kingdom of Bohemia;Kingdom of Bohemia;Kingdom of Bohemia;;Kingdom of Bohemia;;;;;;;;;x;
cust_loc_grand_aquitaine;Grand Duchy of Aquitaine;Grand Duchy of Aquitaine;Grand Duchy of Aquitaine;;Grand Duchy of Aquitaine;;;;;;;;;;
cust_loc_grand_burgundy;Grand Duchy of Burgundy;Grand Duchy of Burgundy;Grand Duchy of Burgundy;;Grand Duchy of Burgundy;;;;;;;;;;
cust_loc_grand_normandy;Grand Duchy of Normandy;Grand Duchy of Normandy;Grand Duchy of Normandy;;Grand Duchy of Normandy;;;;;;;;;;
cust_loc_king_sicily;Kingdom of Sicily;Kingdom of Sicily;Kingdom of Sicily;;Kingdom of Sicily;;;;;;;;;;
cust_loc_grand_milan;Grand Duchy of Milan;Grand Duchy of Milan;Grand Duchy of Milan;;Grand Duchy of Milan;;;;;;;;;;
cust_loc_grand_naples;Grand Duchy of Naples;Grand Duchy of Naples;Grand Duchy of Naples;;Grand Duchy of Naples;;;;;;;;;;
cust_loc_karling_emperor;Carolingian Emperor;Carolingian Emperor;Carolingian Emperor;;Carolingian Emperor;;;;;;;;;;
cust_loc_hre_emperor;Holy Roman Emperor;Holy Roman Emperor;Holy Roman Emperor;;Holy Roman Emperor;;;;;;;;;;
cust_loc_hoftag;Hoftag;Hoftag;Hoftag;;Hoftag;;;;;;;;;;
cust_loc_jourdelacour;Jour de la Cour;Jour de la Cour;Jour de la Cour;;Jour de la Cour;;;;;;;;;;
cust_loc_giornocorte;Giorno Corte;Giorno Corte;Giorno Corte;;Giorno Corte;;;;;;;;;;
cust_loc_burgundy;Burgundy;Burgundy;Burgundy;;Burgundy;;;;;;;;;;
cust_loc_arles;Arles;Arles;Arles;;Arles;;;;;;;;;;
weak_byz_emp;The Byzantine throne must not be occupied by one the Pope would consider unworthy;The Byzantine throne must not be occupied by one the Pope would consider unworthy;The Byzantine throne must not be occupied by one the Pope would consider unworthy;;The Byzantine throne must not be occupied by one the Pope would consider unworthy;;;;;;;;;;
#RELIGIONS;;;;;;;;;;;;;;x;
hussite;Hussite;Hussite;Hussiten;;Husita;;;;;;;;;x;
hussite_DESC;The Hussite movement stemmed from the teachings of Jan Hus, a Bohemian priest in the late 14th and early 15th centuries, who preached that the Catholic church had become corrupt and in need of reform. Based around concepts such as poverty of clergy, punishment of mortal sins and celebration of Communion of both kinds, bread and wine, the Hussites were precursors of the later Protestant movements of the Reformation.;The Hussite movement stemmed from the teachings of Jan Hus, a Bohemian priest in the late 14th and early 15th centuries, who preached that the Catholic church had become corrupt and in need of reform. Based around concepts such as poverty of clergy, punishment of mortal sins and celebration of Communion of both kinds, bread and wine, the Hussites were precursors of the later Protestant movements of the Reformation.;The Hussite movement stemmed from the teachings of Jan Hus, a Bohemian priest in the late 14th and early 15th centuries, who preached that the Catholic church had become corrupt and in need of reform. Based around concepts such as poverty of clergy, punishment of mortal sins and celebration of Communion of both kinds, bread and wine, the Hussites were precursors of the later Protestant movements of the Reformation.;;The Hussite movement stemmed from the teachings of Jan Hus, a Bohemian priest in the late 14th and early 15th centuries, who preached that the Catholic church had become corrupt and in need of reform. Based around concepts such as poverty of clergy, punishment of mortal sins and celebration of Communion of both kinds, bread and wine, the Hussites were precursors of the later Protestant movements of the Reformation.;;;;;;;;;x;
war_hussite;Hussite;Hussite;Hussiten;;Husita;;;;;;;;;x;
war_hussite_DESC;The Hussite movement stemmed from the teachings of Jan Hus, a Bohemian priest in the late 14th and early 15th centuries, who preached that the Catholic church had become corrupt and in need of reform. Based around concepts such as poverty of clergy, punishment of mortal sins and celebration of Communion of both kinds, bread and wine, the Hussites were precursors of the later Protestant movements of the Reformation.;The Hussite movement stemmed from the teachings of Jan Hus, a Bohemian priest in the late 14th and early 15th centuries, who preached that the Catholic church had become corrupt and in need of reform. Based around concepts such as poverty of clergy, punishment of mortal sins and celebration of Communion of both kinds, bread and wine, the Hussites were precursors of the later Protestant movements of the Reformation.;The Hussite movement stemmed from the teachings of Jan Hus, a Bohemian priest in the late 14th and early 15th centuries, who preached that the Catholic church had become corrupt and in need of reform. Based around concepts such as poverty of clergy, punishment of mortal sins and celebration of Communion of both kinds, bread and wine, the Hussites were precursors of the later Protestant movements of the Reformation.;;The Hussite movement stemmed from the teachings of Jan Hus, a Bohemian priest in the late 14th and early 15th centuries, who preached that the Catholic church had become corrupt and in need of reform. Based around concepts such as poverty of clergy, punishment of mortal sins and celebration of Communion of both kinds, bread and wine, the Hussites were precursors of the later Protestant movements of the Reformation.;;;;;;;;;x;
#CHRONICLE;;;;;;;;;;;;;;x;
CHRON_REXTEUT_ROME;The restoration of the Roman Empire caused the Holy Roman Empire to lose translatio Imperii, leading to its reorganisation.;The restoration of the Roman Empire caused the Holy Roman Empire to lose translatio Imperii, leading to its reorganisation.;The restoration of the Roman Empire caused the Holy Roman Empire to lose translatio Imperii, leading to its reorganisation.;;The restoration of the Roman Empire caused the Holy Roman Empire to lose translatio Imperii, leading to its reorganisation.;;;;;;;;;x;
CHRON_REXTEUT_KARLING_HRE;The Carolingian Empire, no longer ruled by the dynasty of Charlemagne, become known instead as the Holy Roman Empire.;The Carolingian Empire become known instead as the Holy Roman Empire.;The Carolingian Empire become known instead as the Holy Roman Empire.;;The Carolingian Empire become known instead as the Holy Roman Empire.;;;;;;;;;x;
CHRON_REXTEUT_DICTATUS_PAPAE;His Holiness, [Root.RelHead.GetBestName], released a list of rights and privileges known as the Dictatus Papae.;His Holiness, the Pope, released a list of rights and privileges known as the Dictatus Papae.;His Holiness, the Pope, released a list of rights and privileges known as the Dictatus Papae.;;His Holiness, the Pope, released a list of rights and privileges known as the Dictatus Papae.;;;;;;;;;x;
CHRON_REXTEUT_INVEST_BEGIN;[Root.GetBestName]'s angry response to the Dictatus Papae led to the start of the Investiture Controversy.;The Emperor's angry response to the Dictatus Papae led to the start of the Investiture Controversy.;The Emperor's angry response to the Dictatus Papae led to the start of the Investiture Controversy.;;The Emperor's angry response to the Dictatus Papae led to the start of the Investiture Controversy.;;;;;;;;;x;
CHRON_REXTEUT_INVEST_CONT;Relations between [Root.GetBestName] and [Root.RelHead.GetBestName] broke down, reigniting the Investiture Controversy.;Relations between the Emperor and the Pope broke down, reigniting the Investiture Controversy.;Relations between the Emperor and the Pope broke down, reigniting the Investiture Controversy.;;Relations between the Emperor and the Pope broke down, reigniting the Investiture Controversy.;;;;;;;;;x;
CHRON_REXTEUT_EMPEROR_DEFIES;[Root.GetBestName] chose to defy [Root.RelHead.GetBestName] over the question of Investiture and was excommunicated;The Emperor chose to defy the Pope over the question of Investiture and was excommunicated;The Emperor chose to defy the Pope over the question of Investiture and was excommunicated;;The Emperor chose to defy the Pope over the question of Investiture and was excommunicated;;;;;;;;;x;
CHRON_REXTEUT_POPE_SUBMITS;[Root.RelHead.GetBestName] submitted to the authority of [Root.GetBestName], ending the Investiture Controversy in Imperial favour.;The Pope submitted to the authority of the Emperor, ending the Investiture Controversy in Imperial favour.;The Pope submitted to the authority of the Emperor, ending the Investiture Controversy in Imperial favour.;;The Pope submitted to the authority of the Emperor, ending the Investiture Controversy in Imperial favour.;;;;;;;;;x;
CHRON_REXTEUT_POPE_WINS;[Root.GetBestName] submitted to the authority of [Root.RelHead.GetBestName], ending the Investiture Controversy in Papal favour.;The Emperor submitted to the authority of the Pope, ending the Investiture Controversy in Papal favour.;The Emperor submitted to the authority of the Pope, ending the Investiture Controversy in Papal favour.;;The Emperor submitted to the authority of the Pope, ending the Investiture Controversy in Papal favour.;;;;;;;;;x;
CHRON_REXTEUT_WORMS;[Root.RelHead.GetBestName] and [Root.GetTitledName] met near Worms, where they developed a compromise that decisively ended the Investiture Controversy.;The Pope and the Emperor met near Worms, where they developed a compromise that decisively ended the Investiture Controversy.;The Pope and the Emperor met near Worms, where they developed a compromise that decisively ended the Investiture Controversy.;;The Pope and the Emperor met near Worms, where they developed a compromise that decisively ended the Investiture Controversy.;;;;;;;;;x;
CHRON_REXTEUT_HUS;Jan Hus began to preach heresy in Bohemia;Jan Hus began to preach heresy in Bohemia;Jan Hus began to preach heresy in Bohemia;;Jan Hus began to preach heresy in Bohemia;;;;;;;;;x;
CHRON_REXTEUT_HUS_EXECUTED;For the despicable crime of heresy, Jan Hus was put to death.;For the despicable crime of heresy, Jan Hus was put to death.;For the despicable crime of heresy, Jan Hus was put to death.;;For the despicable crime of heresy, Jan Hus was put to death.;;;;;;;;;x;
CHRON_REXTEUT_HUSSITE_WARS;The followers of Jan Hus launched an uprising against the Catholic faithful of Bohemia that started a longer conflict.;The followers of Jan Hus launched an uprising against the Catholic faithful of Bohemia that started a longer conflict.;The followers of Jan Hus launched an uprising against the Catholic faithful of Bohemia that started a longer conflict.;;The followers of Jan Hus launched an uprising against the Catholic faithful of Bohemia that started a longer conflict.;;;;;;;;;x;
CHRON_REXTEUT_HUSSITE_END_A;Moderate Hussites took over the movement and made peace with the Catholic faithful.;Moderate Hussites took over the movement and made peace with the Catholic faithful.;Moderate Hussites took over the movement and made peace with the Catholic faithful.;;Moderate Hussites took over the movement and made peace with the Catholic faithful.;;;;;;;;;x;
CHRON_REXTEUT_HUSSITE_END_B;The Hussites of Bohemia were wiped out by the Catholic faithful, ending the Hussite Wars.;The Hussites of Bohemia were wiped out by the Catholic faithful, ending the Hussite Wars.;The Hussites of Bohemia were wiped out by the Catholic faithful, ending the Hussite Wars.;;The Hussites of Bohemia were wiped out by the Catholic faithful, ending the Hussite Wars.;;;;;;;;;x;
CHRON_REXTEUT_STAT_FAV_PRIN;[Root.GetBestName] granted rights to the Imperial Princes in what became known as the Statutum in Favorem Principum.;The Emperor granted rights to the Imperial Princes in what became known as the Statutum in Favorem Principum.;The Emperor granted rights to the Imperial Princes in what became known as the Statutum in Favorem Principum.;;The Emperor granted rights to the Imperial Princes in what became known as the Statutum in Favorem Principum.;;;;;;;;;x;
CHRON_REXTEUT_VERDUN;The Treaty of Verdun officially partitioned the Empire and limited the power of the Emperor as a result.;The Treaty of Verdun officially partitioned the Empire and limited the power of the Emperor as a result.;The Treaty of Verdun officially partitioned the Empire and limited the power of the Emperor as a result.;;The Treaty of Verdun officially partitioned the Empire and limited the power of the Emperor as a result.;;;;;;;;;x;
CHRON_REXTEUT_VERDUN_FAILED;Despite attempts by the Empire's king-vassals, the Emperor was able to maintain Imperial authority.;Despite attempts by the Empire's king-vassals, the Emperor was able to maintain Imperial authority.;Despite attempts by the Empire's king-vassals, the Emperor was able to maintain Imperial authority.;;Despite attempts by the Empire's king-vassals, the Emperor was able to maintain Imperial authority.;;;;;;;;;x;
CHRON_REXTEUT_ARLES;[Root.GetBestName] formally merged the kingdoms of Burgundy and Provence, creating the Kingdom of Arles.;[Root.GetBestName] formally merged the kingdoms of Burgundy and Provence, creating the Kingdom of Arles.;[Root.GetBestName] formally merged the kingdoms of Burgundy and Provence, creating the Kingdom of Arles.;;[Root.GetBestName] formally merged the kingdoms of Burgundy and Provence, creating the Kingdom of Arles.;;;;;;;;;x;
CHRON_REXTEUT_ARLES_ABSORBED;[Root.GetBestName] gained the Kingdom of Arles, and permanently united it with the Imperial crown.;[Root.GetBestName] gained the Kingdom of Arles, and permanently united it with the Imperial crown.;[Root.GetBestName] gained the Kingdom of Arles, and permanently united it with the Imperial crown.;;[Root.GetBestName] gained the Kingdom of Arles, and permanently united it with the Imperial crown.;;;;;;;;;x;
CHRON_REXTEUT_BURGUNDY_ABSORBED;[Root.GetBestName] gained the Kingdom of Burgundy, and permanently united it with the Imperial crown.;[Root.GetBestName] gained the Kingdom of Burgundy, and permanently united it with the Imperial crown.;[Root.GetBestName] gained the Kingdom of Burgundy, and permanently united it with the Imperial crown.;;[Root.GetBestName] gained the Kingdom of Burgundy, and permanently united it with the Imperial crown.;;;;;;;;;x;
CHRON_REXTEUT_HRE_CHANGE;[Root.GetBestName], no longer able to claim authority as Holy Roman Emperor, instead founded a new empire in its place.;[Root.GetBestName], no longer able to claim authority as Holy Roman Emperor, instead founded a new empire in its place.;[Root.GetBestName], no longer able to claim authority as Holy Roman Emperor, instead founded a new empire in its place.;;[Root.GetBestName], no longer able to claim authority as Holy Roman Emperor, instead founded a new empire in its place.;;;;;;;;;;
CHRON_REXTEUT_HRE_RESTORED;[Root.GetDynName] was crowned Emperor by his holiness [Root.RelHead.GetBestName], effectively restoring the Holy Roman Empire.;[Root.GetDynName] was crowned Emperor by his holiness [Root.RelHead.GetBestName], effectively restoring the Holy Roman Empire.;[Root.GetDynName] was crowned Emperor by his holiness [Root.RelHead.GetBestName], effectively restoring the Holy Roman Empire.;;[Root.GetDynName] was crowned Emperor by his holiness [Root.RelHead.GetBestName], effectively restoring the Holy Roman Empire.;;;;;;;;;;
#RULES;;;;;;;;;;;;;;x;
RULE_GROUP_REX;Rex Teutonicorum;Rex Teutonicorum;Rex Teutonicorum;;Rex Teutonicorum;;;;;;;;;x;
RULE_REXTEUT_STORY;§CRex Teutonicorum:§! Story Events;§CRex Teutonicorum:§! Story Events;§CRex Teutonicorum:§! Story Events;;§CRex Teutonicorum:§! Story Events;;;;;;;;;x;
RULE_REXTEUT_STORY_ON_DESC;Story events surrounding the creation of the Holy Roman Empire will be enabled.;Story events surrounding the creation of the Holy Roman Empire will be enabled.;Story events surrounding the creation of the Holy Roman Empire will be enabled.;;Story events surrounding the creation of the Holy Roman Empire will be enabled.;;;;;;;;;x;
RULE_REXTEUT_STORY_OFF_DESC;Story events surrounding the creation of the Holy Roman Empire will be disabled.;Story events surrounding the creation of the Holy Roman Empire will be disabled.;Story events surrounding the creation of the Holy Roman Empire will be disabled.;;Story events surrounding the creation of the Holy Roman Empire will be disabled.;;;;;;;;;x;
RULE_REXTEUT_HUS;§CRex Teutonicorum:§! Hussite Events;§CRex Teutonicorum:§! Hussite Events;§CRex Teutonicorum:§! Hussite Events;;§CRex Teutonicorum:§! Hussite Events;;;;;;;;;x;
RULE_REXTEUT_HUS_HISTORICAL_DESC;Events involving the Hussites in Bohemia will begin around the end of the 14th century.;Events involving the Hussites in Bohemia will begin around the end of the 14th century.;Events involving the Hussites in Bohemia will begin around the end of the 14th century.;;Events involving the Hussites in Bohemia will begin around the end of the 14th century.;;;;;;;;;x;
RULE_REXTEUT_HUS_RANDOM_DESC;Events involving the Hussites in Bohemia can begin any time if a Catholic Kingdom of Bohemia exists.;Events involving the Hussites in Bohemia can begin any time if a Catholic Kingdom of Bohemia exists.;Events involving the Hussites in Bohemia can begin any time if a Catholic Kingdom of Bohemia exists.;;Events involving the Hussites in Bohemia can begin any time if a Catholic Kingdom of Bohemia exists.;;;;;;;;;x;
RULE_REXTEUT_HUS_OFF_DESC;Events involving the Hussites in Bohemia will not occur.;Events involving the Hussites in Bohemia will not occur.;Events involving the Hussites in Bohemia will not occur.;;Events involving the Hussites in Bohemia will not occur.;;;;;;;;;x;
RULE_REXTEUT_ITALY;§CRex Teutonicorum:§! Italian Instability Events;§CRex Teutonicorum:§! Italian Instability Events;§CRex Teutonicorum:§! Italian Instability Events;;§CRex Teutonicorum:§! Italian Instability Events;;;;;;;;;x;
RULE_REXTEUT_ITALY_ON_DESC;Events involving Papal meddling in post-Carolingian Italy will be enabled.;Events involving Papal meddling in post-Carolingian Italy will be enabled.;Events involving Papal meddling in post-Carolingian Italy will be enabled.;;Events involving Papal meddling in post-Carolingian Italy will be enabled.;;;;;;;;;x;
RULE_REXTEUT_ITALY_OFF_DESC;Events involving Papal meddling in post-Carolingian Italy will be disabled.;Events involving Papal meddling in post-Carolingian Italy will be disabled.;Events involving Papal meddling in post-Carolingian Italy will be disabled.;;Events involving Papal meddling in post-Carolingian Italy will be disabled.;;;;;;;;;x;
#TRAITS;;;;;;;;;;;;;;x;
guelph;Guelph;Guelf;Guelf;;Güelf ;;;;;;;;;x;
guelph_desc;This character openly supports the Pope in the struggle between the Papacy and the Empire;This character openly supports the Pope in the struggle between the Papacy and the Empire;This character openly supports the Pope in the struggle between the Papacy and the Empire;;This character openly supports the Pope in the struggle between the Papacy and the Empire;;;;;;;;;x;
ghibelline;Ghibelline;Gibelin;Ghibellin;;Gibelina;;;;;;;;;x;
ghibelline_desc;This character openly supports the Emperor in the struggle between the Papacy and the Empire;This character openly supports the Emperor in the struggle between the Papacy and the Empire;This character openly supports the Emperor in the struggle between the Papacy and the Empire;;This character openly supports the Emperor in the struggle between the Papacy and the Empire;;;;;;;;;x;
co_crowned;King of the Romans;Co-Crowned;Co-Crowned;;Co-Crowned;;;;;;;;;;
co_crowned_desc;This character has been co-crowned as King of the Romans, and is thus set to inherit the Empire;This character has been elected as heir to the Empire by it's princes;This character has been elected as heir to the Empire by it's princes;;This character has been elected as heir to the Empire by it's princes;;;;;;;;;;
#SOCIETIES;;;;;;;;;;;;;;x;
