#STORY EVENTS#;;;;;;;;;;;;;;x;
EVTNAME_rexteut_1001;Adelaide of Italy;Adelaide of Italy;Adelaide of Italy;;Adelaide of Italy;;;;;;;;;x;
EVTOPTA_rexteut_5005;When you put it like that...;When you put it like that...;When you put it like that...;;When you put it like that...;;;;;;;;;x;
EVTOPTB_rexteut_5005;Do your worst!;Do your worst!;Do your worst!;;Do your worst!;;;;;;;;;x;
EVTDESC_rexteut_5006;To [Root.GetTitledName]: Your unreasonable demands are hardly worth my time as Emperor. If you covet these rights you clamour for like spoiled children, then you will have to take them by force!;To [Root.GetTitledName]: Your unreasonable demands are hardly worth my time as Emperor. If you covet these rights you clamour for like spoiled children, then you will have to take them by force!;To [Root.GetTitledName]: Your unreasonable demands are hardly worth my time as Emperor. If you covet these rights you clamour for like spoiled children, then you will have to take them by force!;;To [Root.GetTitledName]: Your unreasonable demands are hardly worth my time as Emperor. If you covet these rights you clamour for like spoiled children, then you will have to take them by force!;;;;;;;;;x;
EVTOPTA_rexteut_5006;Then war it is!;Then war it is!;Then war it is!;;Then war it is!;;;;;;;;;x;
EVTDESC_rexteut_5007;Despite the attempts of  the Princes to extract more rights and autonomy, the Emperor has put down the revolt and preserved Imperial power.;Despite the attempts of  the Princes to extract more rights and autonomy, the Emperor has put down the revolt and preserved Imperial power.;Despite the attempts of  the Princes to extract more rights and autonomy, the Emperor has put down the revolt and preserved Imperial power.;;Despite the attempts of  the Princes to extract more rights and autonomy, the Emperor has put down the revolt and preserved Imperial power.;;;;;;;;;x;
EVTOPTA_rexteut_5007;It's good to be Emperor.;It's good to be Emperor.;It's good to be Emperor.;;It's good to be Emperor.;;;;;;;;;x;
EVTOPTB_rexteut_5007;Drat, drat, and double drat!;Drat, drat, and double drat!;Drat, drat, and double drat!;;Drat, drat, and double drat!;;;;;;;;;x;
EVTDESC_rexteut_5009;The Emperor has announced [Root.Liege.GetHerHis] intention to revoke the Statutum in Favorem Principum, and one of the rights enshrined within it is the ability for you, as an Imperial Prince, to vote on legislation. Revoking the Statute will mean a stronger, more centralised Empire, but will potentially cost you the rights that it grants you...;The Emperor has announced [Root.Liege.GetHerHis] intention to revoke the Statutum in Favorem Principum, and one of the rights enshrined within it is the ability for you, as an Imperial Prince, to vote on legislation. Revoking the Statute will mean a stronger, more centralised Empire, but will potentially cost you the rights that it grants you...;The Emperor has announced [Root.Liege.GetHerHis] intention to revoke the Statutum in Favorem Principum, and one of the rights enshrined within it is the ability for you, as an Imperial Prince, to vote on legislation. Revoking the Statute will mean a stronger, more centralised Empire, but will potentially cost you the rights that it grants you...;;The Emperor has announced [Root.Liege.GetHerHis] intention to revoke the Statutum in Favorem Principum, and one of the rights enshrined within it is the ability for you, as an Imperial Prince, to vote on legislation. Revoking the Statute will mean a stronger, more centralised Empire, but will potentially cost you the rights that it grants you...;;;;;;;;;x;
EVTOPTA_rexteut_5009;Support the revocation;Support the revocation;Support the revocation;;Support the revocation;;;;;;;;;x;
EVTOPTB_rexteut_5009;Oppose the revocation;Oppose the revocation;Oppose the revocation;;Oppose the revocation;;;;;;;;;x;
EVTDESCA_rexteut_5011;The Imperial Princes have now all voted, and, happily, the majority are in favour of revoking the Statutum in Favorem Principum. The terms of the Statute shall henceforth be considered null and void.;The Imperial Princes have now all voted, and, happily, the majority are in favour of revoking the Statutum in Favorem Principum. The terms of the Statute shall henceforth be considered null and void.;The Imperial Princes have now all voted, and, happily, the majority are in favour of revoking the Statutum in Favorem Principum. The terms of the Statute shall henceforth be considered null and void.;;The Imperial Princes have now all voted, and, happily, the majority are in favour of revoking the Statutum in Favorem Principum. The terms of the Statute shall henceforth be considered null and void.;;;;;;;;;x;
EVTDESCB_rexteut_5011;The Imperial Princes have now all voted, and, unfortunately, the majority are unwilling to give up the rights enshrined in the Statutum in Favorem Principum. ;The Imperial Princes have now all voted, and, unfortunately, the majority are unwilling to give up the rights enshrined in the Statutum in Favorem Principum. ;The Imperial Princes have now all voted, and, unfortunately, the majority are unwilling to give up the rights enshrined in the Statutum in Favorem Principum. ;;The Imperial Princes have now all voted, and, unfortunately, the majority are unwilling to give up the rights enshrined in the Statutum in Favorem Principum. ;;;;;;;;;x;
EVTOPTA_rexteut_5011;Yes, excellent!;Yes, excellent!;Yes, excellent!;;Yes, excellent!;;;;;;;;;x;
EVTOPTB_rexteut_5011;Well, it was worth a try.;Well, it was worth a try.;Well, it was worth a try.;;Well, it was worth a try.;;;;;;;;;x;
EVTOPTC_rexteut_5011;To hell with what those dissidents think, I'll revoke it anyway!;To hell with what those dissidents think, I'll revoke it anyway!;To hell with what those dissidents think, I'll revoke it anyway!;;To hell with what those dissidents think, I'll revoke it anyway!;;;;;;;;;x;
EVTNAME_rexteut_5012;Statute revoked!;Statute revoked!;Statute revoked!;;Statute revoked!;;;;;;;;;x;
EVTDESCA_rexteut_5012;The majority of Princes of the Empire have supported the Emperor in [Root.Liege.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, the document that grants the lords of the Empire rights at the expense of the power of the Emperor.;The majority of Princes of the Empire have supported the Emperor in [Root.Liege.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, the document that grants the lords of the Empire rights at the expense of the power of the Emperor.;The majority of Princes of the Empire have supported the Emperor in [Root.Liege.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, the document that grants the lords of the Empire rights at the expense of the power of the Emperor.;;The majority of Princes of the Empire have supported the Emperor in [Root.Liege.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, the document that grants the lords of the Empire rights at the expense of the power of the Emperor.;;;;;;;;;x;
EVTDESCB_rexteut_5012;Despite the majority of Princes of the Empire being opposed to the Emperor in [Root.Liege.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, [Liege.GetSheHe] has done the unthinkable and revoked it anyway, despite the fact that such an act is illegal under the terms of the Statute itself!;Despite the majority of Princes of the Empire being opposed to the Emperor in [Root.Liege.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, [Liege.GetSheHe] has done the unthinkable and revoked it anyway, despite the fact that such an act is illegal under the terms of the Statute itself!;Despite the majority of Princes of the Empire being opposed to the Emperor in [Root.Liege.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, [Liege.GetSheHe] has done the unthinkable and revoked it anyway, despite the fact that such an act is illegal under the terms of the Statute itself!;;Despite the majority of Princes of the Empire being opposed to the Emperor in [Root.Liege.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, [Liege.GetSheHe] has done the unthinkable and revoked it anyway, despite the fact that such an act is illegal under the terms of the Statute itself!;;;;;;;;;x;
EVTDESCC_rexteut_5012;The majority of Princes of the Empire have opposed the Emperor in [From.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, the document that grants the lords of the Empire rights at the expense of the power of the Emperor. Fortunately, [From.GetSheHe] has opted to respect the will of [From.GetHerHis] vassals and drop the issue.;The majority of Princes of the Empire have opposed the Emperor in [From.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, the document that grants the lords of the Empire rights at the expense of the power of the Emperor. Fortunately, [From.GetSheHe] has opted to respect the will of [From.GetHerHis] vassals and drop the issue.;The majority of Princes of the Empire have opposed the Emperor in [From.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, the document that grants the lords of the Empire rights at the expense of the power of the Emperor. Fortunately, [From.GetSheHe] has opted to respect the will of [From.GetHerHis] vassals and drop the issue.;;The majority of Princes of the Empire have opposed the Emperor in [From.GetHerHis] endeavours to revoke the Statutum in Favorem Principum, the document that grants the lords of the Empire rights at the expense of the power of the Emperor. Fortunately, [From.GetSheHe] has opted to respect the will of [From.GetHerHis] vassals and drop the issue.;;;;;;;;;x;
EVTOPTA_rexteut_5012;Oh well...;Oh well...;Oh well...;;Oh well...;;;;;;;;;x;
EVTOPTB_rexteut_5012;[Root.Liege.GetSheHeCap] won't get away with this!;[Root.Liege.GetSheHeCap] won't get away with this!;[Root.Liege.GetSheHeCap] won't get away with this!;;[Root.Liege.GetSheHeCap] won't get away with this!;;;;;;;;;x;
EVTDESC_rexteut_5013;One of the provisions of the Statutum in Favorem Principum is that the Princes of the Empire are allowed to vote on all legislation proposed by the Emperor. As such, in order to revoke it, your vassals need to agree...;One of the provisions of the Statutum in Favorem Principum is that the Princes of the Empire are allowed to vote on all legislation proposed by the Emperor. As such, in order to revoke it, your vassals need to agree...;One of the provisions of the Statutum in Favorem Principum is that the Princes of the Empire are allowed to vote on all legislation proposed by the Emperor. As such, in order to revoke it, your vassals need to agree...;;One of the provisions of the Statutum in Favorem Principum is that the Princes of the Empire are allowed to vote on all legislation proposed by the Emperor. As such, in order to revoke it, your vassals need to agree...;;;;;;;;;x;
EVTOPTA_rexteut_5013;Here's hoping...;Here's hoping...;Here's hoping...;;Here's hoping...;;;;;;;;;x;
EVTDESC_rexteut_5014;Since the Empire's founding, the Emperors have always been elected by their vassals, with any kind of plan for a hereditary Empire, being a distant fantasy. Now, however, [Root.GetTitledName] has succeeded in making the Holy Roman Empire hereditary, increasing [Root.GetHerHis] power and that of [Root.GetHerHis] dynasty.;Since the Empire's founding, the Emperors have always been elected by their vassals, with any kind of plan for a hereditary Empire, being a distant fantasy. Now, however, [Root.GetTitledName] has succeeded in making the Holy Roman Empire hereditary, increasing [Root.GetHerHis] power and that of [Root.GetHerHis] dynasty.;Since the Empire's founding, the Emperors have always been elected by their vassals, with any kind of plan for a hereditary Empire, being a distant fantasy. Now, however, [Root.GetTitledName] has succeeded in making the Holy Roman Empire hereditary, increasing [Root.GetHerHis] power and that of [Root.GetHerHis] dynasty.;;Since the Empire's founding, the Emperors have always been elected by their vassals, with any kind of plan for a hereditary Empire, being a distant fantasy. Now, however, [Root.GetTitledName] has succeeded in making the Holy Roman Empire hereditary, increasing [Root.GetHerHis] power and that of [Root.GetHerHis] dynasty.;;;;;;;;;x;
EVTOPTA_rexteut_5014;My power grows ever larger!;My power grows ever larger!;My power grows ever larger!;;My power grows ever larger!;;;;;;;;;x;
EVTNAME_rexteut_5015;France becomes part of the Empire;France becomes part of the Empire;France becomes part of the Empire;;France becomes part of the Empire;;;;;;;;;x;
EVTDESC_rexteut_5015;After a period of independence, the Kingdom of France, previously known as West Francia, is back under imperial control. Slowly but surely, the Empire is increasingly resembling the Empire of Charlemagne;After a period of independence, the Kingdom of France, previously known as West Francia, is back under imperial control. Slowly but surely, the Empire is increasingly resembling the Empire of Charlemagne;After a period of independence, the Kingdom of France, previously known as West Francia, is back under imperial control. Slowly but surely, the Empire is increasingly resembling the Empire of Charlemagne;;After a period of independence, the Kingdom of France, previously known as West Francia, is back under imperial control. Slowly but surely, the Empire is increasingly resembling the Empire of Charlemagne;;;;;;;;;x;
EVTOPTA_rexteut_5015;Fantastic!;Fantastic!;Fantastic!;;Fantastic!;;;;;;;;;x;
EVTNAME_rexteut_5016;Roman Empire restored!;Roman Empire restored!;Roman Empire restored!;;Roman Empire restored!;;;;;;;;;;
EVTDESC_rexteut_5016;The power of the [Root.GetEmperorName] has always stemmed from the notion of translatio imperii: the idea that the [Root.PrimaryTitle.GetName] is the natural continuation of the Roman Empire of old. Now that another empire has been universally recognised as the true continuation of Rome, however, the position of the former Emperor is somewhat tenuous. It may be possible for [Root.GetHerHim] to create a new empire from the old, not reliant on translatio imperii, but whether [Root.GetHerHis] vassals will accept this is another question...;The power of the [Root.GetEmperorName] has always stemmed from the notion of translatio imperii: the idea that the [Root.PrimaryTitle.GetName] is the natural continuation of the Roman Empire of old. Now that another empire has been universally recognised as the true continuation of Rome, however, the position of the former Emperor is somewhat tenuous. It may be possible for [Root.GetHerHim] to create a new empire from the old, not reliant on translatio imperii, but whether [Root.GetHerHis] vassals will accept this is another question...;The power of the [Root.GetEmperorName] has always stemmed from the notion of translatio imperii: the idea that the [Root.PrimaryTitle.GetName] is the natural continuation of the Roman Empire of old. Now that another empire has been universally recognised as the true continuation of Rome, however, the position of the former Emperor is somewhat tenuous. It may be possible for [Root.GetHerHim] to create a new empire from the old, not reliant on translatio imperii, but whether [Root.GetHerHis] vassals will accept this is another question...;;The power of the [Root.GetEmperorName] has always stemmed from the notion of translatio imperii: the idea that the [Root.PrimaryTitle.GetName] is the natural continuation of the Roman Empire of old. Now that another empire has been universally recognised as the true continuation of Rome, however, the position of the former Emperor is somewhat tenuous. It may be possible for [Root.GetHerHim] to create a new empire from the old, not reliant on translatio imperii, but whether [Root.GetHerHis] vassals will accept this is another question...;;;;;;;;;;
EVTOPTA_rexteut_5016;I will not give up my Imperial power!;I will not give up my Imperial power!;I will not give up my Imperial power!;;I will not give up my Imperial power!;;;;;;;;;;
EVTOPTB_rexteut_5016;Begone, barbarian pretender!;Begone, barbarian pretender!;Begone, barbarian pretender!;;Begone, barbarian pretender!;;;;;;;;;;
EVTNAME_rexteut_5017;[GetBurgundyName] absorbed into Holy Roman Empire!;Burgundy absorbed into Holy Roman Empire!;Burgundy absorbed into Holy Roman Empire!;;Burgundy absorbed into Holy Roman Empire!;;;;;;;;;;
EVTDESC_rexteut_5017;The Holy Roman Emperor has obtained the crown of [GetBurgundyName], and with it has declared that it shall be officially incorporated into the Empire as a permanent union. All Emperors henceforth shall also be considered Kings of [GetBurgundyName].;The Holy Roman Emperor has obtained the crown of [GetBurgundyName], and with it has declared that it shall be officially incorporated into the Empire as a permanent union. All Emperors henceforth shall also be considered Kings of [GetBurgundyName].;The Holy Roman Emperor has obtained the crown of [GetBurgundyName], and with it has declared that it shall be officially incorporated into the Empire as a permanent union. All Emperors henceforth shall also be considered Kings of [GetBurgundyName].;;The Holy Roman Emperor has obtained the crown of [GetBurgundyName], and with it has declared that it shall be officially incorporated into the Empire as a permanent union. All Emperors henceforth shall also be considered Kings of [GetBurgundyName].;;;;;;;;;;
EVTOPTA_rexteut_5017;I can never have enough crowns!;I can never have enough crowns!;I can never have enough crowns!;;I can never have enough crowns!;;;;;;;;;;
EVTNAME_rexteut_5019;Kingdom uncoupled from Imperial union;Kingdom uncoupled from Imperial union;Kingdom uncoupled from Imperial union;;Kingdom uncoupled from Imperial union;;;;;;;;;x;
EVTDESCA_rexteut_5019;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Iron Crown of the Lombards sits on the head of somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the Kingdom of Italy has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Iron Crown of the Lombards sits on the head of somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the Kingdom of Italy has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Iron Crown of the Lombards sits on the head of somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the Kingdom of Italy has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Iron Crown of the Lombards sits on the head of somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the Kingdom of Italy has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;;;;;;;;;x;
EVTDESCB_rexteut_5019;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of [GetBurgundyName] is held by somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the kingdom has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of [GetBurgundyName] is held by somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the kingdom has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of [GetBurgundyName] is held by somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the kingdom has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of [GetBurgundyName] is held by somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the kingdom has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;;;;;;;;;x;
EVTDESCC_rexteut_5019;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, one of the kingdoms considered part of said union is held by somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the kingdom has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, one of the kingdoms considered part of said union is held by somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the kingdom has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, one of the kingdoms considered part of said union is held by somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the kingdom has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, one of the kingdoms considered part of said union is held by somebody who has not also been elected as King of the Romans. While [From.GetBestName] continues to acknowledge you as suzerain, the fact that the kingdom has been uncoupled from the Imperial crown means that it can potentially pass out of the Empire entirely...;;;;;;;;;x;
EVTDESCD_rexteut_5019;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of Italy has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of Italy has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of Italy has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of Italy has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;;;;;;;;;x;
EVTDESCE_rexteut_5019;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of [GetBurgundyName] has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of [GetBurgundyName] has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of [GetBurgundyName] has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, the Kingdom of [GetBurgundyName] has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;;;;;;;;;x;
EVTDESCF_rexteut_5019;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, one of those crowns has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, one of those crowns has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, one of those crowns has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;;Since its formation, the Holy Roman Empire has been envisioned as a kind of union of crowns, with the Kingdom of Germany at its heart. Now, however, one of those crowns has passed out of Imperial control, with [From.GetBestName] declaring full independence. While the title is still technically considered a de-jure part of the Empire, its breaking free from the Imperial union of crowns is a notable blow to your prestige.;;;;;;;;;x;
EVTOPTA_rexteut_5019;Just so long as it remains under my control...;Just so long as it remains under my control...;Just so long as it remains under my control...;;Just so long as it remains under my control...;;;;;;;;;x;
EVTOPTB_rexteut_5019;Damn [From.GetHerHim], that crown is MINE!;Damn [From.GetHerHim], that crown is MINE!;Damn [From.GetHerHim], that crown is MINE!;;Damn [From.GetHerHim], that crown is MINE!;;;;;;;;;x;
EVTNAME_rexteut_5020;[Root.PrimaryTitle.GetBaseName] raised to [Root.PrimaryTitle.GetTitleRank]!;[Root.PrimaryTitle.GetBaseName] raised to [Root.PrimaryTitle.GetTitleRank]!;[Root.PrimaryTitle.GetBaseName] raised to [Root.PrimaryTitle.GetTitleRank]!;;[Root.PrimaryTitle.GetBaseName] raised to [Root.PrimaryTitle.GetTitleRank]!;;;;;;;;;x;
EVTDESC_rexteut_5020;In a show of generosity, [Root.Liege.GetBestName] has used [Root.Liege.GetHerHis] authority as [Root.Liege.GetTitle] to raise the duchy of [Root.PrimaryTitle.GetBaseName] to the rank of [Root.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is likely that [Root.Liege.GetTitledFirstName] expects something in return, namely your loyalty...;In a show of generosity, [Root.Liege.GetBestName] has used [Root.Liege.GetHerHis] authority as [Root.Liege.GetTitle] to raise the duchy of [Root.PrimaryTitle.GetBaseName] to the rank of [Root.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is likely that [Root.Liege.GetTitledFirstName] expects something in return, namely your loyalty...;In a show of generosity, [Root.Liege.GetBestName] has used [Root.Liege.GetHerHis] authority as [Root.Liege.GetTitle] to raise the duchy of [Root.PrimaryTitle.GetBaseName] to the rank of [Root.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is likely that [Root.Liege.GetTitledFirstName] expects something in return, namely your loyalty...;;In a show of generosity, [Root.Liege.GetBestName] has used [Root.Liege.GetHerHis] authority as [Root.Liege.GetTitle] to raise the duchy of [Root.PrimaryTitle.GetBaseName] to the rank of [Root.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is likely that [Root.Liege.GetTitledFirstName] expects something in return, namely your loyalty...;;;;;;;;;x;
EVTOPTA_rexteut_5020;I'm flattered and grateful!;I'm flattered and grateful!;I'm flattered and grateful!;;I'm flattered and grateful!;;;;;;;;;x;
EVTNAME_rexteut_5021;Germany becomes part of the Empire;Germany becomes part of the Empire;Germany becomes part of the Empire;;Germany becomes part of the Empire;;;;;;;;;;
EVTDESC_rexteut_5021;After a period of independence, the Kingdom of Germany, previously known as East Francia, is back under imperial control. Slowly but surely, the Empire is increasingly resembling the Empire of Charlemagne;After a period of independence, the Kingdom of Germany, previously known as East Francia, is back under imperial control. Slowly but surely, the Empire is increasingly resembling the Empire of Charlemagne;After a period of independence, the Kingdom of Germany, previously known as East Francia, is back under imperial control. Slowly but surely, the Empire is increasingly resembling the Empire of Charlemagne;;After a period of independence, the Kingdom of Germany, previously known as East Francia, is back under imperial control. Slowly but surely, the Empire is increasingly resembling the Empire of Charlemagne;;;;;;;;;;
EVTOPTA_rexteut_5021;Fantastic!;Fantastic!;Fantastic!;;Fantastic!;;;;;;;;;x;
EVTNAME_rexteut_5022;[From.PrimaryTitle.GetBaseName] raised to [From.PrimaryTitle.GetTitleRank]!;[From.PrimaryTitle.GetBaseName] raised to [From.PrimaryTitle.GetTitleRank]!;[From.PrimaryTitle.GetBaseName] raised to [From.PrimaryTitle.GetTitleRank]!;;[From.PrimaryTitle.GetBaseName] raised to [From.PrimaryTitle.GetTitleRank]!;;;;;;;;;;
EVTDESCA_rexteut_5022;In a show of generosity, you have used your authority as Emperor to raise [From.PrimaryTitle.GetBaseName] to the rank of [From.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is almost certain that [From.GetTitledFirstName] will now be obligated to give you [From.GetHerHis] loyalty.;In a show of generosity, you have used your authority as Emperor to raise the duchy of [From.PrimaryTitle.GetBaseName] to the rank of [From.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is almost certain that [From.GetTitledFirstName] will now be obligated to give you [From.GetHerHis] loyalty.;In a show of generosity, you have used your authority as Emperor to raise the duchy of [From.PrimaryTitle.GetBaseName] to the rank of [From.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is almost certain that [From.GetTitledFirstName] will now be obligated to give you [From.GetHerHis] loyalty.;;In a show of generosity, you have used your authority as Emperor to raise the duchy of [From.PrimaryTitle.GetBaseName] to the rank of [From.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is almost certain that [From.GetTitledFirstName] will now be obligated to give you [From.GetHerHis] loyalty.;;;;;;;;;;
EVTDESCB_rexteut_5022;In a show of generosity, [Root.Liege.GetBestName] has used [Root.Liege.GetHerHis] authority as [Root.Liege.GetTitle] to raise [From.PrimaryTitle.GetBaseName] to the rank of [From.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is likely that [Root.Liege.GetTitledFirstName] expects something in return, namely [From.GetHerHis] loyalty...;In a show of generosity, [Root.Liege.GetBestName] has used [Root.Liege.GetHerHis] authority as [Root.Liege.GetTitle] to raise the duchy of [From.PrimaryTitle.GetBaseName] to the rank of [From.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is likely that [Root.Liege.GetTitledFirstName] expects something in return, namely [From.GetHerHis] loyalty...;In a show of generosity, [Root.Liege.GetBestName] has used [Root.Liege.GetHerHis] authority as [Root.Liege.GetTitle] to raise the duchy of [From.PrimaryTitle.GetBaseName] to the rank of [From.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is likely that [Root.Liege.GetTitledFirstName] expects something in return, namely [From.GetHerHis] loyalty...;;In a show of generosity, [Root.Liege.GetBestName] has used [Root.Liege.GetHerHis] authority as [Root.Liege.GetTitle] to raise the duchy of [From.PrimaryTitle.GetBaseName] to the rank of [From.PrimaryTitle.GetTitleRank]! While this is a magnanimous gesture in itself, it is likely that [Root.Liege.GetTitledFirstName] expects something in return, namely [From.GetHerHis] loyalty...;;;;;;;;;;
